CustomerId,Surname,Gender,Age,IsActiveMember,Tenure,HasCrCard,CreditScore,,,,
15565701,Hargrave,Female,42,1,2,1,619,,,,
15565706,Hill,Female,41,1,1,0,608,,,,
15565714,Onio,Female,42,0,8,1,502,,,,
15565779,Boni,Female,39,0,1,0,699,,,,
15565796,Mitchell,Female,43,1,2,1,850,,,,
15565806,Chu,Male,44,0,8,1,645,,,,
15565878,Bartlett,Male,50,1,7,1,822,,,,
15565879,Obinna,Female,29,0,4,1,376,,,,
15565891,He,Male,44,1,4,0,501,,,,
15565996,Ho,Male,27,1,2,1,684,,,,
15566030,Bearce,Male,31,0,6,0,528,,,,
15566091,Andrews,Male,24,0,3,1,497,,,,
15566111,Kay,Female,34,0,10,1,476,,,,
15566139,Chin,Female,25,0,5,0,549,,,,
15566156,Scott,Female,35,1,7,1,635,,,,
15566211,Goforth,Male,45,1,3,0,616,,,,
15566251,Romeo,Male,58,0,1,1,653,,,,
15566253,Henderson,Female,24,1,9,1,549,,,,
15566269,Muldrow,Male,45,0,6,0,587,,,,
15566292,Hao,Female,24,1,6,1,726,,,,
15566295,McDonald,Male,41,1,8,1,732,,,,
15566312,Dellucci,Female,32,0,8,1,636,,,,
15566378,Gerasimov,Female,38,0,4,1,510,,,,
15566380,Mosman,Male,46,1,3,0,669,,,,
15566467,Yen,Female,38,1,5,1,846,,,,
15566494,Maclean,Male,25,1,3,0,577,,,,
15566495,Young,Male,36,1,2,1,756,,,,
15566531,Nebechi,Male,44,0,9,0,571,,,,
15566543,McWilliams,Female,43,1,3,1,574,,,,
15566563,Lucciano,Male,29,1,0,1,411,,,,
15566594,Azikiwe,Female,39,0,3,1,591,,,,
15566633,Odinakachukwu,Male,36,1,7,0,533,,,,
15566660,Sanderson,Male,41,0,9,0,553,,,,
15566689,Maggard,Female,42,1,6,1,520,,,,
15566708,Clements,Female,29,1,9,1,722,,,,
15566735,Lombardo,Female,45,0,0,1,475,,,,
15566740,Watson,Male,31,1,3,0,490,,,,
15566790,Lorenzo,Male,33,1,7,0,804,,,,
15566843,Armstrong,Male,36,1,7,1,850,,,,
15566891,Cameron,Male,41,1,6,0,582,,,,
15566894,Hsiao,Male,40,0,4,1,472,,,,
15566958,Clarke,Female,51,0,8,0,465,,,,
15566988,Osborne,Female,61,1,2,1,556,,,,
15567013,Lavine,Female,49,0,2,0,834,,,,
15567063,Bianchi,Female,61,1,5,1,660,,,,
15567078,Tyler,Female,32,1,4,1,776,,,,
15567114,Martin,Female,27,1,9,1,829,,,,
15567147,Okagbue,Female,39,1,9,1,637,,,,
15567246,Yin,Male,38,1,2,0,550,,,,
15567328,Buccho,Female,37,0,2,1,776,,,,
15567333,Chidiebele,Male,44,0,10,1,698,,,,
15567335,Trevisani,Male,36,0,5,0,585,,,,
15567339,O'Brien,Female,33,0,5,0,788,,,,
15567367,Parkhill,Male,41,0,8,0,655,,,,
15567383,Yoo,Male,42,0,1,1,601,,,,
15567399,Phillipps,Male,43,1,1,1,619,,,,
15567422,Tsao,Male,45,0,5,1,656,,,,
15567431,Endrizzi,Male,19,0,0,0,725,,,,
15567437,T'ien,Female,66,0,4,1,511,,,,
15567442,Velazquez,Male,51,1,4,1,614,,,,
15567446,Hunter,Male,35,0,5,0,742,,,,
15567486,Clark,Female,27,0,9,0,687,,,,
15567506,Jeffrey,Male,33,0,1,0,555,,,,
15567557,Pirozzi,Male,56,1,8,1,684,,,,
15567630,Jackson,Male,26,1,4,1,603,,,,
15567725,Hammond,Female,36,1,6,1,751,,,,
15567778,Brownless,Female,34,0,1,1,581,,,,
15567802,Chibugo,Male,43,1,10,1,735,,,,
15567832,Glauert,Female,35,1,5,0,661,,,,
15567834,Pisano,Female,21,0,8,1,675,,,,
15567839,Konovalova,Male,58,0,2,1,738,,,,
15567855,McKee,Male,29,0,6,1,813,,,,
15567860,Palermo,Female,37,1,0,0,657,,,,
15567893,Ballard,Female,25,1,5,1,604,,,,
15567897,Wallace,Male,36,1,9,0,519,,,,
15567919,Cavenagh,Female,21,0,1,1,735,,,,
15567923,Hu,Male,55,1,8,1,664,,,,
15567980,Read,Female,32,1,9,1,678,,,,
15567991,Bushell,Male,33,1,5,0,757,,,,
15567993,Postle,Female,41,0,10,1,416,,,,
15568006,Buley,Female,34,0,1,0,665,,,,
15568025,Leonard,Female,32,0,2,1,777,,,,
15568032,Mills,Female,36,0,3,0,543,,,,
15568044,Onyeorulu,Female,34,1,4,1,506,,,,
15568046,Beit,Female,46,0,4,1,493,,,,
15568088,Ndukaku,Female,75,1,10,1,652,,,,
15568104,Gant,Male,22,0,3,1,750,,,,
15568106,Rowley,Male,30,0,9,1,729,,,,
15568120,Sharpe,Female,46,0,4,1,646,,,,
15568162,Osborne,Female,28,1,3,1,635,,,,
15568164,Heap,Female,44,1,5,1,647,,,,
15568238,Ritchie,Male,45,0,7,1,808,,,,
15568240,Cole,Female,36,0,10,1,524,,,,
15568326,Capon,Male,29,1,8,1,769,,,,
15568328,Capon,Male,42,1,4,0,730,,,,
15568360,Fiorentini,Male,35,1,10,0,515,,,,
15568429,Graham,Male,41,1,9,0,773,,,,
15568449,Yuille,Male,29,1,8,1,814,,,,
15568469,Allard,Male,22,0,8,0,710,,,,
15568487,Fanucci,Male,34,0,9,0,413,,,,
15568506,Fu,Female,40,1,6,1,665,,,,
15568519,Hung,Female,44,0,6,0,623,,,,
15568562,Hung,Male,31,0,9,1,738,,,,
15568573,Bradley,Male,36,0,7,1,528,,,,
15568595,Dunbabin,Female,65,1,1,1,670,,,,
15568742,Mauldon,Female,46,1,4,1,622,,,,
15568748,Stiger,Male,32,1,1,1,582,,,,
15568819,Parsons,Female,36,1,2,0,785,,,,
15568834,Walkom,Male,33,0,5,0,605,,,,
15568849,T'ang,Male,35,0,9,1,479,,,,
15568876,Eremenko,Male,30,1,3,0,685,,,,
15568878,Rowntree,Male,39,0,7,1,538,,,,
15568885,Thorpe,Male,42,0,2,0,562,,,,
15568904,Chiemela,Male,36,1,9,0,675,,,,
15568915,Fanucci,Male,28,1,9,0,721,,,,
15568953,Ko,Female,30,1,9,1,628,,,,
15568963,Welch,Female,37,0,6,1,668,,,,
15568982,Duncan,Female,41,0,1,1,506,,,,
15569050,Chidozie,Female,31,0,8,1,524,,,,
15569079,Wu,Male,34,0,4,1,699,,,,
15569098,Culbreth,Male,34,0,8,0,828,,,,
15569120,Kennedy,Male,39,0,6,0,674,,,,
15569178,Cameron,Female,39,0,6,1,656,,,,
15569187,Calabresi,Female,48,1,10,1,684,,,,
15569209,Zetticci,Female,28,0,3,0,625,,,,
15569222,Fuller,Male,42,0,9,1,432,,,,
15569247,MacDonald,Female,52,1,1,0,549,,,,
15569248,Piccio,Male,56,0,0,1,625,,,,
15569249,Kennedy,Female,41,0,7,1,828,,,,
15569264,Fernie,Male,24,0,9,1,770,,,,
15569266,He,Female,34,1,3,1,758,,,,
15569274,Kaodilinakachukwu,Female,33,1,9,1,795,,,,
15569364,Cocci,Male,38,1,9,1,687,,,,
15569394,Alekseeva,Male,25,1,1,0,686,,,,
15569410,Chinweike,Male,39,1,7,1,789,,,,
15569423,Arthur,Female,50,1,5,1,589,,,,
15569430,Li,Female,34,1,5,0,461,,,,
15569432,Ma,Male,40,1,2,0,637,,,,
15569438,Chia,Female,48,0,2,1,584,,,,
15569446,Vasin,Female,35,1,1,0,579,,,,
15569451,Groves,Male,44,0,10,1,756,,,,
15569452,Tien,Male,34,1,7,1,663,,,,
15569503,Forwood,Female,43,1,5,1,682,,,,
15569526,Greeves,Male,52,0,2,1,793,,,,
15569571,Taylor,Female,31,0,5,1,691,,,,
15569572,Madukwe,Female,21,1,5,1,485,,,,
15569590,Bennelong,Female,29,0,8,1,635,,,,
15569595,Olisanugo,Male,37,0,5,0,650,,,,
15569624,Chukwufumnanya,Male,44,0,9,1,735,,,,
15569626,Harris,Male,32,1,0,0,416,,,,
15569641,Morgan,Female,32,0,7,1,754,,,,
15569654,Alexeeva,Female,48,0,9,1,535,,,,
15569666,Metcalfe,Male,42,0,8,1,716,,,,
15569670,Humphries,Male,37,0,2,1,539,,,,
15569678,Milne,Female,43,1,6,1,614,,,,
15569682,Chou,Male,57,0,7,1,706,,,,
15569759,Li,Female,33,0,7,0,758,,,,
15569764,Clayton,Female,28,1,2,1,586,,,,
15569807,Maclean,Female,73,1,6,0,646,,,,
15569867,Chigolum,Female,33,0,4,0,631,,,,
15569878,Wilkinson,Female,22,1,6,0,717,,,,
15569892,Wei,Male,30,0,2,1,684,,,,
15569917,Treacy,Female,49,0,7,0,800,,,,
15569945,Hu,Female,36,1,2,1,721,,,,
15569976,Taverner,Male,29,0,0,1,683,,,,
15570002,Sherman,Male,31,1,9,1,660,,,,
15570004,Taubman,Female,24,0,7,1,704,,,,
15570051,Robinson,Female,41,0,9,1,615,,,,
15570060,Pinto,Female,39,0,2,1,667,,,,
15570073,Wood,Male,24,0,9,0,682,,,,
15570086,Hawkins,Female,29,0,4,1,484,,,,
15570087,Sun,Male,27,0,5,1,628,,,,
15570134,Yost,Male,44,0,10,1,480,,,,
15570141,Ting,Male,30,0,4,1,578,,,,
15570145,Rowe,Male,40,1,5,1,512,,,,
15570192,Fu,Female,35,1,7,1,484,,,,
15570194,Ho,Female,30,1,0,1,510,,,,
15570205,Okechukwu,Male,36,0,5,0,606,,,,
15570271,Campbell,Female,40,1,8,0,597,,,,
15570289,Ashbolt,Female,55,0,3,1,754,,,,
15570299,Rozier,Female,45,1,2,1,850,,,,
15570326,Hsia,Male,65,1,2,1,510,,,,
15570360,Ogbonnaya,Female,45,0,1,1,778,,,,
15570379,T'ang,Male,42,1,2,1,636,,,,
15570414,Cocci,Female,50,1,4,1,804,,,,
15570417,Chang,Male,32,0,8,1,514,,,,
15570485,T'ao,Female,39,0,1,1,730,,,,
15570508,Ford,Female,37,1,0,0,525,,,,
15570533,Marshall,Male,30,1,5,0,616,,,,
15570601,Tsai,Female,34,0,7,1,687,,,,
15570629,Onwumelu,Female,41,0,8,0,715,,,,
15570681,Graham,Female,36,0,3,1,512,,,,
15570769,Golovanov,Male,40,0,1,0,479,,,,
15570835,Potts,Male,32,0,8,1,601,,,,
15570855,Crawford,Male,29,0,9,1,580,,,,
15570857,Aleshire,Male,35,1,3,1,807,,,,
15570859,Moran,Female,32,1,6,1,616,,,,
15570895,Samsonova,Male,37,1,3,1,721,,,,
15570908,Jenkins,Male,57,1,10,1,501,,,,
15570912,Volkov,Male,35,0,6,1,521,,,,
15570931,Chiemezie,Male,30,1,2,1,850,,,,
15570932,Jude,Male,42,1,4,0,759,,,,
15570943,He,Male,50,1,5,0,516,,,,
15570947,Onuora,Female,38,1,2,1,711,,,,
15570970,Ginikanwa,Male,33,0,3,1,512,,,,
15570990,Ku,Male,37,1,3,1,550,,,,
15571002,McDonald,Female,41,0,3,0,608,,,,
15571059,Collins,Male,34,1,5,1,618,,,,
15571065,Hackett,Male,45,0,5,1,643,,,,
15571081,Dike,Male,45,1,2,0,671,,,,
15571121,Trevisano,Male,33,0,2,1,689,,,,
15571144,Tan,Male,31,1,8,1,603,,,,
15571148,Glassman,Female,41,0,9,0,620,,,,
15571193,Miller,Female,34,1,1,1,676,,,,
15571221,Kornilova,Male,26,0,4,0,572,,,,
15571244,Watson,Male,47,1,7,0,668,,,,
15571261,Marchesi,Male,46,0,7,1,695,,,,
15571281,Millar,Female,33,0,9,0,730,,,,
15571284,Shih,Male,43,0,1,1,807,,,,
15571302,Fuller,Male,54,1,8,1,592,,,,
15571305,Hay,Female,31,1,9,1,726,,,,
15571415,Yang,Male,30,1,7,0,514,,,,
15571476,McIntyre,Male,42,1,2,1,567,,,,
15571529,Stevenson,Male,33,0,10,1,850,,,,
15571550,Poole,Male,45,1,6,1,671,,,,
15571571,Bagley,Male,37,0,4,1,670,,,,
15571586,Ch'ien,Female,30,1,9,1,694,,,,
15571666,Cattaneo,Female,39,1,6,1,547,,,,
15571689,O'Sullivan,Male,50,0,2,1,751,,,,
15571752,Lucas,Female,29,0,3,1,594,,,,
15571756,Ringrose,Male,72,1,1,0,673,,,,
15571778,Freeman,Male,40,0,0,1,610,,,,
15571816,Sergeyev,Female,37,1,1,0,512,,,,
15571843,Fiore,Male,20,1,3,0,767,,,,
15571869,Smith,Female,67,1,5,0,585,,,,
15571873,Dumetochukwu,Male,42,0,6,1,763,,,,
15571917,Pacheco,Female,29,1,2,1,712,,,,
15571928,Synnot,Female,43,0,3,1,539,,,,
15571940,Johnston,Female,46,0,2,1,668,,,,
15571958,Stevens,Male,28,1,2,0,703,,,,
15571973,Grant,Male,38,0,4,1,662,,,,
15571995,Tsao,Female,39,0,5,1,725,,,,
15572021,Barnes,Male,37,1,8,0,703,,,,
15572022,McIntosh,Male,67,1,6,1,659,,,,
15572038,Madison,Male,34,0,7,1,523,,,,
15572050,Ifesinachi,Female,40,0,10,1,635,,,,
15572051,Glazkov,Male,26,0,7,1,772,,,,
15572073,Dimauro,Female,26,1,1,1,545,,,,
15572093,Wieck,Male,24,1,8,1,634,,,,
15572114,Liao,Male,54,0,8,1,739,,,,
15572145,Hughes,Female,36,0,5,0,771,,,,
15572158,Morrison,Female,34,1,1,1,587,,,,
15572174,Matveyeva,Female,79,1,0,0,681,,,,
15572182,Ku,Male,37,1,2,1,544,,,,
15572265,Cheatham,Male,28,0,8,0,696,,,,
15572291,Yao,Male,41,1,0,0,766,,,,
15572294,Kirkland,Male,34,1,10,1,727,,,,
15572356,Rose,Female,34,0,6,0,671,,,,
15572360,Jess,Female,30,1,6,1,693,,,,
15572361,Welch,Male,38,1,3,1,850,,,,
15572374,Ifeajuna,Male,42,1,9,1,732,,,,
15572390,Morton,Female,48,0,6,1,726,,,,
15572398,Rossi,Female,32,0,6,1,557,,,,
15572408,Reppert,Female,26,1,0,0,682,,,,
15572415,Kang,Male,31,1,9,1,738,,,,
15572428,Ch'iu,Female,36,0,9,1,531,,,,
15572461,Wallis,Male,34,1,2,1,498,,,,
15572467,Clark,Male,36,0,7,1,651,,,,
15572547,Fielding,Female,39,0,7,0,549,,,,
15572626,Zetticci,Female,35,0,7,1,791,,,,
15572631,Dulhunty,Male,41,1,9,0,650,,,,
15572657,Bevington,Male,34,0,3,1,733,,,,
15572706,Boyle,Female,34,1,1,1,811,,,,
15572728,Newton,Male,30,0,8,1,707,,,,
15572735,Bowman,Male,28,1,4,0,712,,,,
15572762,Dubinina,Female,37,1,7,1,706,,,,
15572767,Toscani,Male,62,1,3,1,756,,,,
15572777,Chiazagomekpere,Female,53,0,10,1,777,,,,
15572792,Allen,Male,35,1,6,0,646,,,,
15572801,K'ung,Male,46,0,1,1,714,,,,
15572956,Wilsmore,Male,39,1,8,1,782,,,,
15573045,Hargreaves,Male,29,1,10,1,775,,,,
15573077,Huang,Male,35,1,4,1,479,,,,
15573086,Ch'ien,Male,42,1,7,1,807,,,,
15573112,Wallwork,Female,22,1,8,0,799,,,,
15573152,Chu,Male,40,0,7,1,675,,,,
15573171,Kang,Male,29,0,5,1,602,,,,
15573242,Davidson,Female,32,0,8,1,475,,,,
15573278,O'Donnell,Female,26,1,5,1,744,,,,
15573280,Nnachetam,Male,34,0,10,1,588,,,,
15573284,Chidiebele,Male,42,1,9,0,703,,,,
15573309,Ahmed,Female,41,0,5,1,747,,,,
15573318,Booth,Male,27,0,7,1,583,,,,
15573319,Chuang,Female,34,0,9,0,750,,,,
15573348,Shao,Male,38,1,3,1,681,,,,
15573452,Tsao,Male,25,0,2,1,773,,,,
15573456,Tien,Female,31,1,4,1,714,,,,
15573520,Chang,Female,44,0,7,1,687,,,,
15573599,Johnson,Male,58,1,0,1,511,,,,
15573628,French,Male,33,1,5,1,627,,,,
15573730,Efremov,Female,31,0,10,1,694,,,,
15573741,Hartley,Female,36,0,6,0,616,,,,
15573769,Calabrese,Male,35,0,8,1,687,,,,
15573798,Chiu,Female,33,1,6,1,712,,,,
15573851,Brennan,Male,33,0,4,0,553,,,,
15573854,Onwuatuegwu,Male,31,1,1,1,667,,,,
15573876,Hewitt,Male,43,1,2,1,731,,,,
15573888,Shih,Male,35,0,7,1,629,,,,
15573893,Balashov,Male,50,0,4,1,614,,,,
15573926,Doyle,Male,31,0,8,1,438,,,,
15573971,Pokrovskii,Female,80,1,4,1,652,,,,
15574004,Collins,Male,30,0,6,1,729,,,,
15574012,Russo,Male,38,0,3,0,642,,,,
15574068,Skinner,Female,59,0,0,1,806,,,,
15574071,Robertson,Male,36,1,2,1,744,,,,
15574072,Atkinson,Male,37,0,3,0,474,,,,
15574115,Doyle,Male,49,0,2,1,559,,,,
